,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260522P00080000,2026-04-22 19:07:34+00:00,80.0,0.03,0.01,0.03,0.0,0.0,1.0,60.0,1.71875140625,False,REGULAR,USD
1,TSLA260522P00090000,2026-04-21 19:14:55+00:00,90.0,0.02,0.01,0.04,0.0,0.0,2.0,12.0,1.6171894140625,False,REGULAR,USD
2,TSLA260522P00100000,2026-04-16 17:49:59+00:00,100.0,0.02,0.01,0.04,0.0,0.0,6.0,0.0,1.5000025,False,REGULAR,USD
3,TSLA260522P00110000,2026-04-15 18:23:55+00:00,110.0,0.03,0.01,0.25,0.0,0.0,2.0,0.0,1.6328143359374998,False,REGULAR,USD
4,TSLA260522P00120000,2026-04-21 15:40:28+00:00,120.0,0.04,0.02,0.05,0.0,0.0,2.0,4.0,1.3359408203124996,False,REGULAR,USD
5,TSLA260522P00130000,2026-04-22 13:46:41+00:00,130.0,0.05,0.03,0.06,0.0,0.0,4.0,4.0,1.2734411328124997,False,REGULAR,USD
6,TSLA260522P00140000,2026-04-14 15:25:56+00:00,140.0,0.1,0.04,0.07,0.0,0.0,2.0,21.0,1.2109414453124998,False,REGULAR,USD
7,TSLA260522P00150000,2026-04-23 14:12:03+00:00,150.0,0.05,0.04,0.07,0.0,0.0,1.0,15.0,1.1328168359375002,False,REGULAR,USD
8,TSLA260522P00160000,2026-04-23 16:16:17+00:00,160.0,0.06,0.06,0.08,-0.010000002,-14.285716,3.0,64.0,1.0800827246093752,False,REGULAR,USD
9,TSLA260522P00170000,2026-04-23 14:35:58+00:00,170.0,0.1,0.07,0.1,0.0,0.0,1.0,52.0,1.0273486132812502,False,REGULAR,USD
10,TSLA260522P00180000,2026-04-23 18:14:48+00:00,180.0,0.09,0.08,0.11,-0.03999999,-30.769224,2.0,360.0,0.9687503125,False,REGULAR,USD
11,TSLA260522P00190000,2026-04-23 17:53:13+00:00,190.0,0.12,0.11,0.13,0.0,0.0,109.0,27.0,0.9257819921875,False,REGULAR,USD
12,TSLA260522P00200000,2026-04-23 17:15:25+00:00,200.0,0.13,0.14,0.16,-0.02000001,-13.333339,18.0,494.0,0.8818371191406249,False,REGULAR,USD
13,TSLA260522P00210000,2026-04-23 15:44:55+00:00,210.0,0.17,0.17,0.19,0.0,0.0,5.0,62.0,0.8369156933593749,False,REGULAR,USD
