,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260429C00280000,2026-04-16 16:12:11+00:00,280.0,109.95,91.2,95.95,0.0,0.0,,2,1.4619167529296875,True,REGULAR,USD
1,TSLA260429C00290000,2026-04-23 13:37:10+00:00,290.0,91.6,79.8,86.5,-8.099998,-8.1243725,1.0,8,1.3947784167480468,True,REGULAR,USD
2,TSLA260429C00300000,2026-04-16 19:32:43+00:00,300.0,88.33,72.0,75.45,0.0,0.0,,4,0.5976602734375001,True,REGULAR,USD
3,TSLA260429C00305000,2026-04-23 14:53:55+00:00,305.0,69.81,67.45,70.5,-14.590004,-17.286734,1.0,6,0.7304714453125,True,REGULAR,USD
4,TSLA260429C00310000,2026-04-20 15:17:32+00:00,310.0,82.0,62.5,65.5,0.0,0.0,1.0,6,0.6894562304687502,True,REGULAR,USD
5,TSLA260429C00320000,2026-04-17 16:56:51+00:00,320.0,87.1,52.6,55.55,0.0,0.0,4.0,1,0.6113320117187502,True,REGULAR,USD
6,TSLA260429C00325000,2026-04-23 15:07:35+00:00,325.0,51.27,47.65,50.6,-11.48,-18.29482,3.0,9,0.5722699023437501,True,REGULAR,USD
7,TSLA260429C00327500,2026-04-16 18:18:37+00:00,327.5,61.17,45.2,48.15,0.0,0.0,,18,0.5576216113281252,True,REGULAR,USD
8,TSLA260429C00330000,2026-04-23 15:42:10+00:00,330.0,48.17,42.75,45.65,-13.190002,-21.496092,1.0,31,0.5366257275390626,True,REGULAR,USD
9,TSLA260429C00332500,2026-04-20 15:44:35+00:00,332.5,60.38,39.35,43.2,0.0,0.0,50.0,14,0.7117948742675781,True,REGULAR,USD
10,TSLA260429C00335000,2026-04-20 17:18:57+00:00,335.0,58.36,37.9,40.75,0.0,0.0,2.0,4,0.5063525927734375,True,REGULAR,USD
11,TSLA260429C00337500,2026-04-20 15:44:35+00:00,337.5,55.52,34.3,38.3,0.0,0.0,,8,0.6549106774902345,True,REGULAR,USD
12,TSLA260429C00340000,2026-04-23 17:43:08+00:00,340.0,32.7,33.15,35.9,-17.05,-34.271355,40.0,19,0.6303747900390625,True,REGULAR,USD
13,TSLA260429C00342500,2026-04-22 16:12:03+00:00,342.5,29.0,29.85,33.45,-20.0,-40.816326,2.0,23,0.6005899316406251,True,REGULAR,USD
14,TSLA260429C00345000,2026-04-23 16:41:58+00:00,345.0,35.64,27.6,31.05,-7.880001,-18.10662,2.0,3,0.5744671459960937,True,REGULAR,USD
15,TSLA260429C00347500,2026-04-23 16:09:10+00:00,347.5,31.5,25.95,28.3,-16.5,-34.375,2.0,3,0.5188036401367188,True,REGULAR,USD
16,TSLA260429C00350000,2026-04-23 16:53:08+00:00,350.0,27.0,23.4,25.9,-15.139999,-35.92786,101.0,56,0.49207050903320315,True,REGULAR,USD
17,TSLA260429C00355000,2026-04-23 17:47:59+00:00,355.0,19.53,19.55,21.45,-15.839998,-44.783714,26.0,96,0.4598442687988281,True,REGULAR,USD
18,TSLA260429C00357500,2026-04-23 17:53:16+00:00,357.5,18.05,18.25,18.75,-17.39,-49.06885,120.0,13,0.40845318115234375,True,REGULAR,USD
19,TSLA260429C00360000,2026-04-23 18:55:52+00:00,360.0,16.53,16.0,16.4,-14.639999,-46.96824,1307.0,69,0.37964487548828124,True,REGULAR,USD
20,TSLA260429C00362500,2026-04-23 18:47:19+00:00,362.5,15.3,14.3,14.65,-14.249999,-48.223347,141.0,11,0.3842835009765625,True,REGULAR,USD
21,TSLA260429C00365000,2026-04-23 18:56:22+00:00,365.0,12.77,12.7,12.85,-14.889999,-53.83225,2267.0,263,0.3794007373046875,True,REGULAR,USD
22,TSLA260429C00367500,2026-04-23 18:53:12+00:00,367.5,11.2,11.15,11.35,-15.31,-57.751793,844.0,8,0.38440557006835935,True,REGULAR,USD
23,TSLA260429C00370000,2026-04-23 18:54:29+00:00,370.0,10.0,9.6,9.75,-13.68,-57.77027,2644.0,79,0.37805797729492185,True,REGULAR,USD
24,TSLA260429C00372500,2026-04-23 18:57:29+00:00,372.5,8.38,8.4,8.5,-12.7,-60.24668,2615.0,14,0.38281867187499996,True,REGULAR,USD
25,TSLA260429C00375000,2026-04-23 18:56:43+00:00,375.0,7.15,7.15,7.25,-12.6,-63.79747,3502.0,225,0.3814148773193359,False,REGULAR,USD
26,TSLA260429C00377500,2026-04-23 18:57:30+00:00,377.5,6.2,6.1,6.2,-12.3,-66.48649,3226.0,49,0.3836731555175781,False,REGULAR,USD
27,TSLA260429C00380000,2026-04-23 18:56:57+00:00,380.0,5.3,5.2,5.25,-11.329999,-68.12988,3952.0,233,0.3848938464355468,False,REGULAR,USD
28,TSLA260429C00382500,2026-04-23 18:43:20+00:00,382.5,4.9,4.45,4.55,-10.379999,-67.93194,1362.0,114,0.39331661376953125,False,REGULAR,USD
29,TSLA260429C00385000,2026-04-23 18:56:17+00:00,385.0,3.8,3.75,3.85,-10.099999,-72.661865,1902.0,411,0.39649041015625003,False,REGULAR,USD
30,TSLA260429C00387500,2026-04-23 18:56:24+00:00,387.5,3.18,3.15,3.25,-9.469999,-74.86166,765.0,281,0.40015248291015626,False,REGULAR,USD
31,TSLA260429C00390000,2026-04-23 18:57:10+00:00,390.0,2.66,2.69,2.72,-9.04,-77.26496,16238.0,1383,0.40296007202148443,False,REGULAR,USD
32,TSLA260429C00392500,2026-04-23 18:51:24+00:00,392.5,2.23,2.25,2.28,-8.42,-79.061035,1300.0,795,0.4067442138671875,False,REGULAR,USD
33,TSLA260429C00395000,2026-04-23 18:54:06+00:00,395.0,1.99,1.89,1.91,-8.030001,-80.139725,2290.0,1334,0.41089456298828125,False,REGULAR,USD
34,TSLA260429C00397500,2026-04-23 18:52:56+00:00,397.5,1.6,1.56,1.59,-7.4200006,-82.26164,2010.0,294,0.4144345666503906,False,REGULAR,USD
35,TSLA260429C00400000,2026-04-23 18:57:12+00:00,400.0,1.31,1.3,1.32,-6.59,-83.41772,5770.0,1837,0.41797457031249996,False,REGULAR,USD
36,TSLA260429C00402500,2026-04-23 18:52:56+00:00,402.5,1.11,1.09,1.11,-5.99,-84.366196,1908.0,243,0.4233456103515625,False,REGULAR,USD
37,TSLA260429C00405000,2026-04-23 18:50:38+00:00,405.0,0.9,0.9,0.92,-5.6,-86.15385,1140.0,1613,0.4270076831054688,False,REGULAR,USD
38,TSLA260429C00407500,2026-04-23 18:51:05+00:00,407.5,0.77,0.77,0.78,-5.03,-86.724144,783.0,293,0.43335527587890627,False,REGULAR,USD
39,TSLA260429C00410000,2026-04-23 18:53:49+00:00,410.0,0.67,0.63,0.64,-4.58,-87.2381,5045.0,1256,0.43628493408203123,False,REGULAR,USD
40,TSLA260429C00412500,2026-04-23 18:51:26+00:00,412.5,0.53,0.54,0.55,-4.12,-88.60216,407.0,125,0.44385321777343745,False,REGULAR,USD
41,TSLA260429C00415000,2026-04-23 18:53:28+00:00,415.0,0.46,0.45,0.47,-3.7399998,-89.047615,2141.0,1264,0.450200810546875,False,REGULAR,USD
