,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260504C00325000,2026-04-23 17:51:31+00:00,325.0,47.55,47.7,51.3,-16.420002,-25.668285,2,35,0.6669955175781253,True,REGULAR,USD
1,TSLA260504C00330000,2026-04-23 16:30:01+00:00,330.0,50.35,42.85,46.55,-9.210003,-15.463403,2,10,0.6320837573242188,True,REGULAR,USD
2,TSLA260504C00350000,2026-04-23 14:46:18+00:00,350.0,27.2,24.65,27.65,-14.939999,-35.453247,32,101,0.4715629016113281,True,REGULAR,USD
3,TSLA260504C00355000,2026-04-23 13:59:17+00:00,355.0,24.6,21.25,22.95,-12.539999,-33.764133,1,3,0.4249325085449219,True,REGULAR,USD
4,TSLA260504C00360000,2026-04-23 18:42:27+00:00,360.0,19.8,17.95,18.95,-14.400002,-42.105267,110,24,0.40442490112304685,True,REGULAR,USD
5,TSLA260504C00365000,2026-04-23 18:16:55+00:00,365.0,15.73,14.85,15.65,-15.280001,-49.27443,74,5,0.4019835192871094,True,REGULAR,USD
6,TSLA260504C00370000,2026-04-23 18:52:21+00:00,370.0,12.45,12.15,13.0,-13.320001,-51.688015,329,12,0.41071145935058595,True,REGULAR,USD
7,TSLA260504C00375000,2026-04-23 18:52:06+00:00,375.0,9.88,9.75,9.9,-12.53,-55.91254,979,48,0.38898316101074215,False,REGULAR,USD
8,TSLA260504C00380000,2026-04-23 18:57:12+00:00,380.0,7.65,7.65,7.8,-10.809999,-58.559048,1387,85,0.39075316284179684,False,REGULAR,USD
9,TSLA260504C00385000,2026-04-23 18:30:45+00:00,385.0,6.52,5.95,6.05,-9.68,-59.753082,401,68,0.3924621301269531,False,REGULAR,USD
10,TSLA260504C00390000,2026-04-23 18:54:14+00:00,390.0,4.83,4.6,4.7,-8.84,-64.66715,321,170,0.397466962890625,False,REGULAR,USD
11,TSLA260504C00395000,2026-04-23 18:44:00+00:00,395.0,3.9,3.5,3.6,-7.4,-65.486725,327,244,0.40161731201171874,False,REGULAR,USD
12,TSLA260504C00400000,2026-04-23 18:54:31+00:00,400.0,2.84,2.74,2.79,-7.0,-71.13821,1244,559,0.4089414575195312,False,REGULAR,USD
13,TSLA260504C00405000,2026-04-23 18:44:42+00:00,405.0,2.3,2.1,2.14,-5.75,-71.428566,292,331,0.41528905029296875,False,REGULAR,USD
14,TSLA260504C00410000,2026-04-23 18:51:32+00:00,410.0,1.61,1.62,1.65,-5.0899997,-75.970146,290,526,0.4226131958007812,False,REGULAR,USD
15,TSLA260504C00415000,2026-04-23 17:56:54+00:00,415.0,1.33,1.26,1.28,-4.2200003,-76.03604,128,484,0.43079182495117196,False,REGULAR,USD
16,TSLA260504C00420000,2026-04-23 18:46:23+00:00,420.0,1.0,0.97,0.99,-3.63,-78.401726,259,229,0.43848217773437503,False,REGULAR,USD
17,TSLA260504C00425000,2026-04-23 18:51:28+00:00,425.0,0.77,0.76,0.78,-2.98,-79.46667,318,201,0.44775942871093743,False,REGULAR,USD
18,TSLA260504C00430000,2026-04-23 18:21:57+00:00,430.0,0.62,0.61,0.63,-2.65,-81.03976,298,119,0.4587456469726563,False,REGULAR,USD
19,TSLA260504C00435000,2026-04-23 17:45:13+00:00,435.0,0.48,0.49,0.51,-2.19,-82.02247,82,146,0.4694877270507813,False,REGULAR,USD
20,TSLA260504C00440000,2026-04-23 18:49:41+00:00,440.0,0.4,0.39,0.41,-1.87,-82.37885,92,218,0.47900911621093745,False,REGULAR,USD
21,TSLA260504C00445000,2026-04-23 17:42:50+00:00,445.0,0.36,0.33,0.35,-1.58,-81.4433,15,639,0.4929249926757813,False,REGULAR,USD
22,TSLA260504C00450000,2026-04-23 17:41:59+00:00,450.0,0.3,0.27,0.3,-1.3499999,-81.81818,151,236,0.5024463818359376,False,REGULAR,USD
23,TSLA260504C00455000,2026-04-23 18:33:20+00:00,455.0,0.27,0.24,0.26,-1.09,-80.14706,47,48,0.5170946728515625,False,REGULAR,USD
24,TSLA260504C00460000,2026-04-23 18:01:37+00:00,460.0,0.22,0.21,0.23,-0.93999994,-81.03448,67,49,0.5312546875,False,REGULAR,USD
25,TSLA260504C00465000,2026-04-23 17:50:08+00:00,465.0,0.2,0.18,0.2,-0.84,-80.76923,53,57,0.5429733203125001,False,REGULAR,USD
