,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
39,TSLA260529P00360000,2026-04-23 18:56:38+00:00,360.0,12.77,12.75,12.9,2.5200005,24.585371,479,439,0.4075376629638672,False,REGULAR,USD
40,TSLA260529P00365000,2026-04-23 18:49:16+00:00,365.0,14.4,14.8,15.0,2.3499994,19.50207,297,500,0.4061643856811523,False,REGULAR,USD
41,TSLA260529P00370000,2026-04-23 18:39:36+00:00,370.0,16.23,17.0,17.2,2.2999992,16.511122,616,376,0.40253283020019537,False,REGULAR,USD
42,TSLA260529P00375000,2026-04-23 18:50:22+00:00,375.0,19.6,19.35,19.7,4.05,26.045017,940,298,0.4009154147338867,True,REGULAR,USD
43,TSLA260529P00380000,2026-04-23 18:48:37+00:00,380.0,21.85,21.9,22.3,3.9500008,22.067043,378,255,0.39703972106933594,True,REGULAR,USD
44,TSLA260529P00385000,2026-04-23 18:54:47+00:00,385.0,25.0,24.85,25.25,4.799999,23.762373,250,341,0.39624627197265627,True,REGULAR,USD
45,TSLA260529P00390000,2026-04-23 18:49:41+00:00,390.0,28.3,27.75,28.55,5.299999,23.043476,61,433,0.3987486883544922,True,REGULAR,USD
46,TSLA260529P00395000,2026-04-23 17:10:02+00:00,395.0,31.0,31.1,32.05,6.0,24.0,31,165,0.4017393811035156,True,REGULAR,USD
47,TSLA260529P00400000,2026-04-23 18:03:55+00:00,400.0,34.19,34.65,35.6,6.0899982,21.67259,150,150,0.40204455383300786,True,REGULAR,USD
48,TSLA260529P00405000,2026-04-23 17:49:14+00:00,405.0,40.4,38.05,39.35,9.850002,32.242233,16,92,0.4032652447509766,True,REGULAR,USD
49,TSLA260529P00410000,2026-04-23 17:24:31+00:00,410.0,43.3,41.95,43.3,8.399998,24.06876,9,44,0.40595076477050784,True,REGULAR,USD
50,TSLA260529P00415000,2026-04-23 18:52:57+00:00,415.0,46.97,46.1,47.7,9.110001,24.062336,13,49,0.41748629394531245,True,REGULAR,USD
51,TSLA260529P00420000,2026-04-23 18:09:07+00:00,420.0,49.95,50.25,51.45,9.91,24.75025,13,47,0.40772076660156253,True,REGULAR,USD
52,TSLA260529P00425000,2026-04-23 18:19:26+00:00,425.0,54.66,54.5,55.7,11.639999,27.057182,5,64,0.4087583538818359,True,REGULAR,USD
53,TSLA260529P00430000,2026-04-23 15:00:36+00:00,430.0,56.99,59.0,60.35,9.420002,19.8024,11,27,0.42023284851074216,True,REGULAR,USD
54,TSLA260529P00435000,2026-04-22 13:34:54+00:00,435.0,61.45,63.6,65.15,8.150002,15.29081,4,45,0.43543045043945316,True,REGULAR,USD
55,TSLA260529P00440000,2026-04-20 15:58:52+00:00,440.0,55.51,67.8,69.3,0.0,0.0,2,21,0.4243221630859375,True,REGULAR,USD
56,TSLA260529P00445000,2026-04-20 15:58:52+00:00,445.0,59.76,72.4,73.95,0.0,0.0,1,3,0.42957113403320313,True,REGULAR,USD
57,TSLA260529P00450000,2026-04-23 16:29:06+00:00,450.0,72.54,77.35,79.1,7.669998,11.823644,42,129,0.45551081604003907,True,REGULAR,USD
58,TSLA260529P00470000,2026-04-17 16:18:29+00:00,470.0,70.33,96.75,98.35,0.0,0.0,2,2,0.4908498181152344,True,REGULAR,USD
59,TSLA260529P00475000,2026-04-20 16:53:07+00:00,475.0,84.85,101.2,102.75,0.0,0.0,4,15,0.47083048706054687,True,REGULAR,USD
60,TSLA260529P00480000,2026-04-17 16:18:29+00:00,480.0,79.18,106.15,108.25,0.0,0.0,2,2,0.5181932946777343,True,REGULAR,USD
61,TSLA260529P00485000,2026-04-21 15:54:30+00:00,485.0,97.45,111.45,113.2,0.0,0.0,2,11,0.5312546875,True,REGULAR,USD
62,TSLA260529P00490000,2026-04-17 13:30:18+00:00,490.0,99.15,116.1,118.2,0.0,0.0,2,17,0.5468795312500001,True,REGULAR,USD
63,TSLA260529P00500000,2026-04-23 16:56:13+00:00,500.0,124.0,126.7,127.75,9.989998,8.762387,100,8,0.5026905200195313,True,REGULAR,USD
64,TSLA260529P00530000,2026-04-23 18:30:09+00:00,530.0,155.55,156.3,158.45,14.550003,10.319151,6,6,0.596683720703125,True,REGULAR,USD
