,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260522C00080000,2026-04-14 14:33:30+00:00,80.0,283.0,290.9,295.65,0.0,0.0,2.0,2,2.97802989868164,True,REGULAR,USD
1,TSLA260522C00100000,2026-04-08 16:00:19+00:00,100.0,248.6,270.85,275.5,0.0,0.0,,0,2.5219763513183593,True,REGULAR,USD
2,TSLA260522C00150000,2026-04-13 15:56:20+00:00,150.0,201.92,221.1,225.75,0.0,0.0,1.0,2,1.835450041503906,True,REGULAR,USD
3,TSLA260522C00170000,2026-04-06 17:17:57+00:00,170.0,179.2,201.35,206.0,0.0,0.0,,0,1.6450213061523438,True,REGULAR,USD
4,TSLA260522C00210000,2026-04-17 16:08:00+00:00,210.0,198.9,161.5,164.2,0.0,0.0,1.0,7,0.956055126953125,True,REGULAR,USD
5,TSLA260522C00220000,2026-04-23 14:13:54+00:00,220.0,152.5,151.55,156.05,21.550003,16.456665,1.0,1,0.7128934960937501,True,REGULAR,USD
6,TSLA260522C00230000,2026-04-17 14:59:47+00:00,230.0,177.21,141.7,146.1,0.0,0.0,2.0,2,0.719729365234375,True,REGULAR,USD
7,TSLA260522C00240000,2026-04-14 13:48:32+00:00,240.0,121.36,131.95,136.4,0.0,0.0,,3,0.7500025,True,REGULAR,USD
8,TSLA260522C00255000,2026-04-17 14:41:33+00:00,255.0,148.41,117.15,121.45,0.0,0.0,1.0,2,0.6843293286132813,True,REGULAR,USD
9,TSLA260522C00260000,2026-04-22 14:52:11+00:00,260.0,131.76,112.1,116.3,0.0,0.0,1.0,48,0.6347692773437501,True,REGULAR,USD
10,TSLA260522C00265000,2026-04-15 16:43:24+00:00,265.0,126.3,108.0,109.9,0.0,0.0,1.0,3,0.5444381494140625,True,REGULAR,USD
