,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260515P00005000,2026-04-07 13:30:02+00:00,5.0,0.01,0.0,0.01,0.0,0.0,1.0,4456,5.12500359375,False,REGULAR,USD
1,TSLA260515P00010000,2026-03-13 13:48:36+00:00,10.0,0.13,0.0,0.01,0.0,0.0,1.0,404,4.2500046875,False,REGULAR,USD
2,TSLA260515P00015000,2026-04-06 15:48:51+00:00,15.0,0.01,0.0,0.01,0.0,0.0,5.0,665,3.750000625,False,REGULAR,USD
3,TSLA260515P00020000,2026-01-14 16:29:27+00:00,20.0,0.01,0.0,0.03,0.0,0.0,1.0,1207,3.6875007812500002,False,REGULAR,USD
4,TSLA260515P00025000,2025-11-05 15:33:24+00:00,25.0,0.06,0.0,0.11,0.0,0.0,10.0,1422,3.7890630273437504,False,REGULAR,USD
5,TSLA260515P00030000,2026-04-07 13:45:05+00:00,30.0,0.02,0.0,0.01,0.0,0.0,1.0,6827,2.8750028125,False,REGULAR,USD
6,TSLA260515P00035000,2026-04-16 18:02:45+00:00,35.0,0.01,0.0,0.22,0.0,0.0,480.0,2975,3.5390636523437498,False,REGULAR,USD
7,TSLA260515P00040000,2026-03-18 18:15:58+00:00,40.0,0.01,0.0,0.02,0.0,0.0,33.0,2195,2.68750328125,False,REGULAR,USD
8,TSLA260515P00045000,2026-03-20 14:52:51+00:00,45.0,0.01,0.0,0.02,0.0,0.0,5.0,938,2.56250359375,False,REGULAR,USD
9,TSLA260515P00050000,2026-03-27 14:35:54+00:00,50.0,0.03,0.0,0.22,0.0,0.0,5.0,4012,2.99219001953125,False,REGULAR,USD
10,TSLA260515P00055000,2026-03-31 17:37:55+00:00,55.0,0.02,0.0,0.22,0.0,0.0,10.0,613,2.847659130859375,False,REGULAR,USD
11,TSLA260515P00060000,2026-04-17 14:24:41+00:00,60.0,0.01,0.0,0.22,0.0,0.0,1.0,636,2.718753203125,False,REGULAR,USD
12,TSLA260515P00065000,2026-04-08 13:53:22+00:00,65.0,0.16,0.0,0.22,0.0,0.0,1.0,355,2.60156599609375,False,REGULAR,USD
