,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260424P00080000,2026-04-21 19:57:50+00:00,80.0,0.01,0.0,0.01,0.0,0.0,1.0,670,6.0000025,False,REGULAR,USD
1,TSLA260424P00090000,2026-04-21 17:32:13+00:00,90.0,0.01,0.0,0.01,0.0,0.0,1.0,7,5.500003124999999,False,REGULAR,USD
2,TSLA260424P00100000,2026-04-16 15:10:37+00:00,100.0,0.01,0.0,0.01,0.0,0.0,1.0,117,5.12500359375,False,REGULAR,USD
3,TSLA260424P00110000,2026-04-21 14:15:28+00:00,110.0,0.01,0.0,0.01,0.0,0.0,100.0,602,4.7500040624999995,False,REGULAR,USD
4,TSLA260424P00120000,2026-04-22 17:28:41+00:00,120.0,0.01,0.0,0.01,0.0,0.0,2.0,119,4.500004375,False,REGULAR,USD
5,TSLA260424P00130000,2026-04-20 14:48:29+00:00,130.0,0.01,0.0,0.01,0.0,0.0,61.0,3727,4.12500484375,False,REGULAR,USD
6,TSLA260424P00140000,2026-04-20 19:28:21+00:00,140.0,0.01,0.0,0.01,0.0,0.0,106.0,33927,3.8750003125,False,REGULAR,USD
7,TSLA260424P00150000,2026-04-21 17:56:09+00:00,150.0,0.01,0.0,0.01,0.0,0.0,11.0,9566,3.6250009375000003,False,REGULAR,USD
8,TSLA260424P00160000,2026-04-21 19:18:13+00:00,160.0,0.01,0.0,0.01,0.0,0.0,9.0,391,3.3750015624999996,False,REGULAR,USD
9,TSLA260424P00170000,2026-04-23 16:34:19+00:00,170.0,0.01,0.0,0.01,0.0,0.0,13.0,226,3.1250021875,False,REGULAR,USD
10,TSLA260424P00180000,2026-04-23 16:34:00+00:00,180.0,0.01,0.0,0.01,0.0,0.0,8.0,1580,2.8750028125,False,REGULAR,USD
11,TSLA260424P00190000,2026-04-22 18:06:41+00:00,190.0,0.02,0.0,0.01,0.0,0.0,125.0,1383,2.68750328125,False,REGULAR,USD
