,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260429P00255000,2026-04-23 18:46:33+00:00,255.0,0.02,0.02,0.04,-0.02,-50.0,61.0,649,0.9765627343750001,False,REGULAR,USD
1,TSLA260429P00260000,2026-04-23 16:56:27+00:00,260.0,0.03,0.03,0.05,-0.020000001,-40.000004,231.0,431,0.9609378906249999,False,REGULAR,USD
2,TSLA260429P00265000,2026-04-23 14:28:55+00:00,265.0,0.05,0.03,0.05,-0.009999998,-16.666662,1.0,4,0.914063359375,False,REGULAR,USD
3,TSLA260429P00270000,2026-04-23 15:55:15+00:00,270.0,0.04,0.03,0.05,-0.07,-63.636364,25.0,46,0.867188828125,False,REGULAR,USD
4,TSLA260429P00275000,2026-04-23 18:22:04+00:00,275.0,0.04,0.04,0.06,-0.050000004,-55.555557,63.0,33,0.8437515624999999,False,REGULAR,USD
5,TSLA260429P00280000,2026-04-23 17:14:06+00:00,280.0,0.06,0.04,0.06,-0.040000003,-40.000004,7.0,129,0.79687703125,False,REGULAR,USD
6,TSLA260429P00285000,2026-04-23 17:24:27+00:00,285.0,0.06,0.05,0.07,-0.030000005,-33.333336,4.0,273,0.7695335546875001,False,REGULAR,USD
7,TSLA260429P00290000,2026-04-23 18:38:55+00:00,290.0,0.06,0.06,0.08,-0.06999999,-53.84615,95.0,182,0.73633076171875,False,REGULAR,USD
8,TSLA260429P00295000,2026-04-23 17:35:11+00:00,295.0,0.14,0.08,0.09,0.0,0.0,82.0,35,0.7070341796875,False,REGULAR,USD
9,TSLA260429P00297500,2026-04-23 18:01:13+00:00,297.5,0.11,0.08,0.1,-0.099999994,-47.619045,18.0,18,0.6894562304687502,False,REGULAR,USD
10,TSLA260429P00300000,2026-04-23 17:21:46+00:00,300.0,0.16,0.09,0.1,-0.02000001,-11.111116,1250.0,97,0.6718782812500002,False,REGULAR,USD
11,TSLA260429P00302500,2026-04-23 18:38:35+00:00,302.5,0.1,0.1,0.12,-0.15,-60.000004,10.0,15,0.6611362011718751,False,REGULAR,USD
12,TSLA260429P00305000,2026-04-23 14:56:34+00:00,305.0,0.1,0.11,0.13,-0.1,-50.0,5.0,13,0.6455113574218749,False,REGULAR,USD
13,TSLA260429P00307500,2026-04-23 17:46:40+00:00,307.5,0.21,0.11,0.13,-0.040000007,-16.000002,33.0,31,0.62305064453125,False,REGULAR,USD
14,TSLA260429P00310000,2026-04-23 17:10:03+00:00,310.0,0.22,0.13,0.15,-0.099999994,-31.249998,30.0,42,0.6123085644531252,False,REGULAR,USD
15,TSLA260429P00312500,2026-04-23 17:50:29+00:00,312.5,0.27,0.15,0.17,-0.03999999,-12.903223,101.0,3,0.6005899316406251,False,REGULAR,USD
16,TSLA260429P00315000,2026-04-23 18:48:02+00:00,315.0,0.17,0.16,0.18,-0.10000001,-37.03704,190.0,85,0.5820354296875,False,REGULAR,USD
17,TSLA260429P00317500,2026-04-23 18:15:35+00:00,317.5,0.22,0.18,0.19,-0.09,-29.032257,121.0,21,0.5664105859375,False,REGULAR,USD
18,TSLA260429P00320000,2026-04-23 18:54:29+00:00,320.0,0.21,0.21,0.22,-0.12000002,-36.36364,328.0,185,0.5546919531250001,False,REGULAR,USD
19,TSLA260429P00322500,2026-04-23 17:47:55+00:00,322.5,0.43,0.23,0.25,0.030000001,7.5,3751.0,16,0.5405319384765627,False,REGULAR,USD
20,TSLA260429P00325000,2026-04-23 18:42:26+00:00,325.0,0.25,0.26,0.27,-0.16,-39.02439,527.0,56,0.5249070947265625,False,REGULAR,USD
21,TSLA260429P00327500,2026-04-23 18:53:21+00:00,327.5,0.29,0.29,0.31,-0.17000002,-36.956524,4435.0,69,0.5112353564453125,False,REGULAR,USD
22,TSLA260429P00330000,2026-04-23 18:52:44+00:00,330.0,0.36,0.35,0.36,-0.13999999,-27.999996,728.0,410,0.5009815527343751,False,REGULAR,USD
23,TSLA260429P00332500,2026-04-23 18:51:47+00:00,332.5,0.43,0.4,0.41,-0.14999998,-25.862066,557.0,66,0.4887746435546876,False,REGULAR,USD
24,TSLA260429P00335000,2026-04-23 18:38:43+00:00,335.0,0.44,0.48,0.49,-0.22000003,-33.33334,949.0,227,0.47949739257812496,False,REGULAR,USD
25,TSLA260429P00337500,2026-04-23 18:44:35+00:00,337.5,0.52,0.57,0.59,-0.23000002,-30.66667,2352.0,100,0.47119669433593747,False,REGULAR,USD
26,TSLA260429P00340000,2026-04-23 18:44:31+00:00,340.0,0.61,0.69,0.7,-0.27999997,-31.46067,1140.0,411,0.46143116699218756,False,REGULAR,USD
27,TSLA260429P00342500,2026-04-23 18:35:22+00:00,342.5,0.72,0.83,0.84,-0.27999997,-27.999996,1370.0,112,0.45264219238281256,False,REGULAR,USD
28,TSLA260429P00345000,2026-04-23 18:50:24+00:00,345.0,1.04,0.99,1.01,-0.110000014,-9.565219,763.0,177,0.44434149414062496,False,REGULAR,USD
29,TSLA260429P00347500,2026-04-23 18:48:02+00:00,347.5,1.09,1.21,1.23,-0.26,-19.259258,1392.0,112,0.4379939013671875,False,REGULAR,USD
30,TSLA260429P00350000,2026-04-23 18:57:25+00:00,350.0,1.46,1.46,1.48,-0.120000005,-7.5949364,2300.0,1044,0.43018147949218755,False,REGULAR,USD
31,TSLA260429P00352500,2026-04-23 18:56:22+00:00,352.5,1.77,1.79,1.81,-0.03999996,-2.2099428,1547.0,122,0.42529871582031253,False,REGULAR,USD
32,TSLA260429P00355000,2026-04-23 18:49:40+00:00,355.0,2.18,2.16,2.19,0.03999996,1.869157,1066.0,563,0.4194393994140625,False,REGULAR,USD
33,TSLA260429P00357500,2026-04-23 18:56:22+00:00,357.5,2.62,2.65,2.67,0.119999886,4.7999954,508.0,122,0.4157773266601562,False,REGULAR,USD
34,TSLA260429P00360000,2026-04-23 18:56:05+00:00,360.0,3.13,3.2,3.3,0.22000003,7.5601387,2155.0,469,0.4163876721191406,False,REGULAR,USD
35,TSLA260429P00362500,2026-04-23 18:55:38+00:00,362.5,3.77,3.9,3.95,0.4000001,11.869439,463.0,78,0.41235939208984373,False,REGULAR,USD
36,TSLA260429P00365000,2026-04-23 18:54:09+00:00,365.0,4.4,4.6,4.7,0.45000005,11.3924055,1774.0,357,0.4085142156982422,False,REGULAR,USD
37,TSLA260429P00367500,2026-04-23 18:48:08+00:00,367.5,5.22,5.6,5.7,0.6499996,14.223186,1311.0,91,0.41211525390625,False,REGULAR,USD
38,TSLA260429P00370000,2026-04-23 18:57:04+00:00,370.0,6.7,6.65,6.75,1.4499998,27.619045,4111.0,836,0.41223732299804683,False,REGULAR,USD
39,TSLA260429P00372500,2026-04-23 18:57:09+00:00,372.5,7.85,7.85,7.95,1.8199997,30.182415,3362.0,117,0.41394629028320307,False,REGULAR,USD
40,TSLA260429P00375000,2026-04-23 18:57:11+00:00,375.0,9.25,9.15,9.3,2.25,32.142857,3548.0,343,0.41736422485351554,True,REGULAR,USD
41,TSLA260429P00377500,2026-04-23 18:55:38+00:00,377.5,10.43,10.55,10.7,2.33,28.76543,2783.0,263,0.41748629394531245,True,REGULAR,USD
