,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260504P00325000,2026-04-23 17:52:12+00:00,325.0,0.9,0.59,0.62,0.25,38.46154,32,582,0.4687553125,False,REGULAR,USD
1,TSLA260504P00330000,2026-04-23 18:12:29+00:00,330.0,0.87,0.8,0.83,-0.00999999,-1.1363626,77,210,0.4545952978515625,False,REGULAR,USD
2,TSLA260504P00335000,2026-04-23 18:19:25+00:00,335.0,1.09,1.09,1.12,-0.049999952,-4.3859606,358,448,0.44165597412109375,False,REGULAR,USD
3,TSLA260504P00340000,2026-04-23 18:49:38+00:00,340.0,1.47,1.47,1.51,-0.03999996,-2.6490042,301,442,0.4293269958496094,False,REGULAR,USD
4,TSLA260504P00345000,2026-04-23 18:42:28+00:00,345.0,1.77,2.0,2.04,-0.20000005,-10.152287,238,636,0.41797457031249996,False,REGULAR,USD
5,TSLA260504P00350000,2026-04-23 18:56:03+00:00,350.0,2.75,2.83,2.88,0.21000004,8.267718,389,484,0.415044912109375,False,REGULAR,USD
6,TSLA260504P00355000,2026-04-23 18:54:28+00:00,355.0,3.7,3.8,3.9,0.43000007,13.14985,513,73,0.40869731933593745,False,REGULAR,USD
7,TSLA260504P00360000,2026-04-23 18:53:13+00:00,360.0,5.1,5.15,5.25,0.8800001,20.853085,1261,227,0.40491317749023437,False,REGULAR,USD
8,TSLA260504P00365000,2026-04-23 18:49:41+00:00,365.0,6.9,6.85,6.95,1.48,27.306273,387,211,0.40241076110839846,False,REGULAR,USD
9,TSLA260504P00370000,2026-04-23 18:36:23+00:00,370.0,8.04,9.0,9.15,1.3899999,20.902252,807,232,0.40552352294921873,False,REGULAR,USD
10,TSLA260504P00375000,2026-04-23 18:40:52+00:00,375.0,10.5,10.85,11.75,2.0,23.529411,638,142,0.4097959411621094,True,REGULAR,USD
11,TSLA260504P00380000,2026-04-23 18:36:55+00:00,380.0,13.2,14.05,14.6,2.5,23.364487,395,1306,0.4100400793457031,True,REGULAR,USD
12,TSLA260504P00385000,2026-04-23 17:59:21+00:00,385.0,17.59,16.95,18.05,4.59,35.307693,184,106,0.4205990557861329,True,REGULAR,USD
13,TSLA260504P00390000,2026-04-23 17:34:44+00:00,390.0,20.9,20.4,22.05,5.37,34.578236,111,242,0.4425104577636719,True,REGULAR,USD
14,TSLA260504P00395000,2026-04-23 17:36:32+00:00,395.0,24.35,23.9,26.15,6.25,34.530388,12,433,0.4600884069824219,True,REGULAR,USD
15,TSLA260504P00400000,2026-04-23 14:35:07+00:00,400.0,30.75,28.45,30.3,9.84,47.058823,61,445,0.4718070397949219,True,REGULAR,USD
16,TSLA260504P00405000,2026-04-22 14:25:46+00:00,405.0,22.1,32.75,35.0,0.0,0.0,1,50,0.5045215563964844,True,REGULAR,USD
17,TSLA260504P00410000,2026-04-21 19:54:42+00:00,410.0,37.51,36.9,39.5,7.959999,26.937391,4,8,0.5220995056152342,True,REGULAR,USD
18,TSLA260504P00420000,2026-04-23 17:16:55+00:00,420.0,46.94,46.25,48.85,12.059998,34.57568,5,8,0.5644574804687501,True,REGULAR,USD
19,TSLA260504P00425000,2026-04-23 13:34:46+00:00,425.0,46.96,51.0,53.85,9.16,24.232805,1,3,0.602787175292969,True,REGULAR,USD
20,TSLA260504P00430000,2026-04-21 15:26:08+00:00,430.0,41.97,55.95,58.7,0.0,0.0,1,2,0.5092822509765625,True,REGULAR,USD
