,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260501C00080000,2026-04-17 16:00:46+00:00,80.0,326.0,291.65,294.95,0.0,0.0,2.0,3,5.055667742919921,True,REGULAR,USD
1,TSLA260501C00090000,2026-03-16 18:51:30+00:00,90.0,307.84,310.0,311.45,0.0,0.0,,1,10.596194783630374,True,REGULAR,USD
2,TSLA260501C00100000,2026-03-16 18:51:30+00:00,100.0,297.9,300.05,301.4,0.0,0.0,,1,9.79150778656006,True,REGULAR,USD
3,TSLA260501C00120000,2026-03-16 18:53:06+00:00,120.0,277.98,280.05,281.45,0.0,0.0,,1,8.487797663879393,True,REGULAR,USD
4,TSLA260501C00130000,2026-04-02 16:54:37+00:00,130.0,235.5,240.95,244.75,0.0,0.0,5.0,5,3.4248061254882813,True,REGULAR,USD
5,TSLA260501C00140000,2026-04-17 14:39:46+00:00,140.0,260.11,231.4,234.9,0.0,0.0,6.0,6,3.2714861962890627,True,REGULAR,USD
6,TSLA260501C00150000,2026-04-17 14:45:35+00:00,150.0,251.9,221.0,224.75,0.0,0.0,4.0,10,2.9931665795898432,True,REGULAR,USD
7,TSLA260501C00160000,2026-04-10 14:19:50+00:00,160.0,187.38,211.05,214.85,0.0,0.0,,2,2.8413114904785153,True,REGULAR,USD
8,TSLA260501C00190000,2026-04-10 14:21:32+00:00,190.0,156.21,181.25,184.75,0.0,0.0,,1,2.2832074169921874,True,REGULAR,USD
9,TSLA260501C00200000,2026-04-20 17:26:41+00:00,200.0,192.35,171.2,174.75,0.0,0.0,2.0,10,2.128422647705078,True,REGULAR,USD
10,TSLA260501C00210000,2026-04-22 19:12:44+00:00,210.0,178.35,161.5,165.1,0.0,0.0,2.0,5,2.084477445068359,True,REGULAR,USD
11,TSLA260501C00220000,2026-04-23 18:01:54+00:00,220.0,155.05,151.85,155.05,-12.649994,-7.5432286,1.0,8,1.9248050634765625,True,REGULAR,USD
12,TSLA260501C00230000,2026-04-23 14:32:38+00:00,230.0,141.0,141.25,144.95,-20.0,-12.42236,3.0,27,1.7592785473632815,True,REGULAR,USD
13,TSLA260501C00240000,2026-04-22 15:35:57+00:00,240.0,150.91,131.15,134.5,0.0,0.0,2.0,17,1.50390873046875,True,REGULAR,USD
14,TSLA260501C00250000,2026-04-22 14:45:16+00:00,250.0,140.7,121.75,124.8,0.0,0.0,1.0,42,1.4624050317382813,True,REGULAR,USD
15,TSLA260501C00255000,2026-04-22 14:17:29+00:00,255.0,137.38,116.7,119.85,0.0,0.0,7.0,21,1.4126005932617187,True,REGULAR,USD
16,TSLA260501C00260000,2026-04-23 14:07:51+00:00,260.0,115.34,111.85,114.9,-14.62001,-11.249622,1.0,14,1.3627961547851561,True,REGULAR,USD
