,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA280121P00005000,2026-04-22 18:30:53+00:00,5.0,0.02,0.01,0.03,0.0,0.0,45,2593,1.09375453125,False,REGULAR,USD
1,TSLA280121P00010000,2026-04-17 13:59:56+00:00,10.0,0.08,0.0,0.15,0.0,0.0,1,367,1.01953615234375,False,REGULAR,USD
2,TSLA280121P00015000,2026-04-16 18:30:51+00:00,15.0,0.15,0.03,0.22,0.0,0.0,10,50,0.9433599414062499,False,REGULAR,USD
3,TSLA280121P00020000,2026-04-23 16:26:22+00:00,20.0,0.23,0.18,0.3,-0.00999999,-4.1666627,1,336,0.918946123046875,False,REGULAR,USD
4,TSLA280121P00025000,2026-04-16 19:59:31+00:00,25.0,0.37,0.18,0.38,0.0,0.0,27,221,0.8598646826171875,False,REGULAR,USD
5,TSLA280121P00030000,2026-04-17 14:58:22+00:00,30.0,0.42,0.37,0.62,0.0,0.0,2,230,0.8608412353515625,False,REGULAR,USD
6,TSLA280121P00035000,2026-04-07 15:04:17+00:00,35.0,0.78,0.48,0.7,0.0,0.0,2,359,0.8251970605468748,False,REGULAR,USD
7,TSLA280121P00040000,2026-04-16 19:44:03+00:00,40.0,0.75,0.44,0.89,0.0,0.0,8,244,0.7895528857421875,False,REGULAR,USD
8,TSLA280121P00045000,2026-04-17 15:51:24+00:00,45.0,0.62,0.72,0.99,0.0,0.0,10,68,0.7751487329101563,False,REGULAR,USD
9,TSLA280121P00050000,2026-04-23 13:34:02+00:00,50.0,1.03,0.97,1.14,0.029999971,2.9999971,1,1985,0.760012165527344,False,REGULAR,USD
10,TSLA280121P00060000,2026-04-23 13:45:09+00:00,60.0,1.34,1.32,1.57,-0.13,-8.843537,1,247,0.7266873034667969,False,REGULAR,USD
11,TSLA280121P00070000,2026-04-21 18:44:31+00:00,70.0,1.89,1.64,2.02,0.0,0.0,1,297,0.69336244140625,False,REGULAR,USD
12,TSLA280121P00080000,2026-04-23 13:45:09+00:00,80.0,2.31,2.31,2.57,-0.07000017,-2.9411836,1,261,0.674075524902344,False,REGULAR,USD
13,TSLA280121P00090000,2026-04-20 19:27:44+00:00,90.0,3.0,2.72,3.2,0.0,0.0,7,143,0.6483189465332031,False,REGULAR,USD
14,TSLA280121P00100000,2026-04-23 14:19:37+00:00,100.0,3.55,3.55,3.75,-0.06999993,-1.9336998,2,1823,0.6293982373046876,False,REGULAR,USD
15,TSLA280121P00110000,2026-04-23 17:06:18+00:00,110.0,4.35,4.25,4.6,0.049999714,1.162784,3,906,0.6120033917236329,False,REGULAR,USD
16,TSLA280121P00120000,2026-04-23 14:13:50+00:00,120.0,5.21,5.1,5.5,0.11000013,2.1568654,1,558,0.5962564788818359,False,REGULAR,USD
17,TSLA280121P00130000,2026-04-22 19:26:22+00:00,130.0,5.98,5.8,6.6,0.0,0.0,15,182,0.5799602551269532,False,REGULAR,USD
18,TSLA280121P00140000,2026-04-23 17:30:07+00:00,140.0,7.15,7.05,7.5,0.13000011,1.8518535,32,220,0.5665326550292968,False,REGULAR,USD
19,TSLA280121P00150000,2026-04-23 17:45:27+00:00,150.0,8.55,8.25,8.65,0.2300005,2.764429,4,551,0.5538069522094727,False,REGULAR,USD
20,TSLA280121P00160000,2026-04-23 15:53:01+00:00,160.0,9.45,9.6,10.0,-0.19999981,-2.072537,1,739,0.5428512512207033,False,REGULAR,USD
21,TSLA280121P00170000,2026-04-22 17:32:29+00:00,170.0,10.8,11.1,11.55,0.0,0.0,4,391,0.53320779296875,False,REGULAR,USD
22,TSLA280121P00175000,2026-04-21 17:14:27+00:00,175.0,11.85,11.65,12.5,0.0,0.0,2,8,0.5276536492919923,False,REGULAR,USD
23,TSLA280121P00180000,2026-04-22 19:17:13+00:00,180.0,12.33,12.9,13.2,0.0,0.0,2,705,0.5248460601806642,False,REGULAR,USD
24,TSLA280121P00185000,2026-04-22 19:41:05+00:00,185.0,13.18,13.3,14.2,0.0,0.0,1,23,0.5180101910400392,False,REGULAR,USD
25,TSLA280121P00190000,2026-04-23 14:13:50+00:00,190.0,14.9,14.5,15.0,0.75,5.3003535,2,322,0.514729584197998,False,REGULAR,USD
26,TSLA280121P00195000,2026-04-23 17:12:01+00:00,195.0,15.55,15.45,15.9,0.69000053,4.6433415,1,77,0.5101367346191408,False,REGULAR,USD
27,TSLA280121P00200000,2026-04-23 18:28:59+00:00,200.0,16.63,16.55,16.9,0.5999985,3.7429721,5,4353,0.5066577655029296,False,REGULAR,USD
28,TSLA280121P00210000,2026-04-23 17:22:41+00:00,210.0,19.0,18.6,19.1,0.8500004,4.683198,4,588,0.5014698291015626,False,REGULAR,USD
29,TSLA280121P00220000,2026-04-23 14:46:20+00:00,220.0,21.13,20.95,21.55,0.7799988,3.8329177,1,569,0.4954274090576172,False,REGULAR,USD
30,TSLA280121P00230000,2026-04-23 16:33:50+00:00,230.0,23.14,23.6,24.1,0.289999,1.2691423,1,629,0.4889119712829591,False,REGULAR,USD
31,TSLA280121P00240000,2026-04-23 17:35:07+00:00,240.0,26.55,26.4,26.9,1.0999985,4.322194,51,691,0.48328153442382815,False,REGULAR,USD
