,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA281215P00005000,2026-04-22 15:54:01+00:00,5.0,0.06,0.03,0.1,0.0,0.0,4,1322,0.9960937890625,False,REGULAR,USD
1,TSLA281215P00010000,2026-04-22 14:21:50+00:00,10.0,0.15,0.01,0.2,0.0,0.0,1,198,0.85742330078125,False,REGULAR,USD
2,TSLA281215P00015000,2026-04-17 13:41:30+00:00,15.0,0.15,0.11,0.3,0.0,0.0,1,1060,0.8125018749999999,False,REGULAR,USD
3,TSLA281215P00020000,2026-04-08 14:54:49+00:00,20.0,0.45,0.13,0.54,0.0,0.0,1,49,0.7797873583984375,False,REGULAR,USD
4,TSLA281215P00025000,2026-04-06 19:45:07+00:00,25.0,0.54,0.27,0.68,0.0,0.0,6,57,0.7500025,False,REGULAR,USD
5,TSLA281215P00030000,2026-04-17 17:58:08+00:00,30.0,0.67,0.43,0.7,0.0,0.0,3,595,0.7126493579101563,False,REGULAR,USD
6,TSLA281215P00035000,2026-04-23 14:08:46+00:00,35.0,0.74,0.62,0.82,-0.089999974,-10.84337,31,582,0.6904327832031252,False,REGULAR,USD
7,TSLA281215P00040000,2026-04-14 14:48:21+00:00,40.0,1.08,0.8,1.12,0.0,0.0,20,196,0.6789582885742189,False,REGULAR,USD
8,TSLA281215P00045000,2026-04-21 15:03:03+00:00,45.0,1.27,1.01,1.5,0.0,0.0,51,95,0.6701693139648439,False,REGULAR,USD
9,TSLA281215P00050000,2026-04-23 14:25:45+00:00,50.0,1.7,1.5,1.65,0.07000005,4.2944818,20,1402,0.6608920629882813,False,REGULAR,USD
10,TSLA281215P00060000,2026-04-22 15:49:35+00:00,60.0,2.13,1.95,2.5,0.0,0.0,21,495,0.6387975573730469,False,REGULAR,USD
11,TSLA281215P00070000,2026-04-10 16:41:38+00:00,70.0,3.25,2.53,3.3,0.0,0.0,5,38,0.6164589135742189,False,REGULAR,USD
12,TSLA281215P00080000,2026-04-16 16:12:22+00:00,80.0,3.75,3.3,4.15,0.0,0.0,1,172,0.597782342529297,False,REGULAR,USD
13,TSLA281215P00090000,2026-04-23 18:52:41+00:00,90.0,4.75,4.45,4.8,0.1500001,3.2608716,2,256,0.5806926696777344,False,REGULAR,USD
14,TSLA281215P00100000,2026-04-23 17:11:50+00:00,100.0,5.75,5.55,5.9,0.19000006,3.4172673,7,1726,0.5675702423095703,False,REGULAR,USD
15,TSLA281215P00110000,2026-04-23 17:46:45+00:00,110.0,7.05,6.7,7.05,0.32000017,4.7548313,48,326,0.5539595385742189,False,REGULAR,USD
16,TSLA281215P00120000,2026-04-22 17:42:39+00:00,120.0,8.3,8.0,8.55,0.39000034,4.9304724,1,374,0.5438888385009766,False,REGULAR,USD
17,TSLA281215P00130000,2026-04-16 18:26:50+00:00,130.0,9.75,9.25,10.05,0.0,0.0,1,196,0.531803998413086,False,REGULAR,USD
18,TSLA281215P00140000,2026-04-22 18:54:48+00:00,140.0,11.5,11.1,11.65,0.72999954,6.778083,1,270,0.5238389901733399,False,REGULAR,USD
19,TSLA281215P00150000,2026-04-23 18:52:45+00:00,150.0,13.15,12.85,13.35,0.6999998,5.622489,8,731,0.5143481182861327,False,REGULAR,USD
20,TSLA281215P00160000,2026-04-23 14:20:29+00:00,160.0,15.22,14.75,15.4,0.14000034,0.92838424,1,856,0.5067188000488281,False,REGULAR,USD
21,TSLA281215P00170000,2026-04-23 14:25:24+00:00,170.0,17.45,16.9,17.55,0.80000114,4.804812,2,270,0.5031635377502441,False,REGULAR,USD
22,TSLA281215P00175000,2026-04-20 19:47:19+00:00,175.0,18.0,17.9,18.85,0.0,0.0,12,22,0.5013172427368165,False,REGULAR,USD
23,TSLA281215P00180000,2026-04-23 18:23:28+00:00,180.0,19.49,19.2,19.9,0.47999954,2.5249844,5,414,0.496648099975586,False,REGULAR,USD
24,TSLA281215P00185000,2026-04-17 18:07:38+00:00,185.0,20.03,20.15,21.25,0.0,0.0,6,28,0.49457292541503906,False,REGULAR,USD
25,TSLA281215P00190000,2026-04-23 18:27:53+00:00,190.0,21.99,21.65,22.4,0.789999,3.7264104,24,176,0.4903310244750977,False,REGULAR,USD
26,TSLA281215P00195000,2026-04-17 18:08:40+00:00,195.0,22.52,22.7,24.05,0.0,0.0,6,72,0.4902089553833009,False,REGULAR,USD
27,TSLA281215P00200000,2026-04-23 18:57:08+00:00,200.0,24.7,24.4,25.1,0.9000015,3.7894804,23,1386,0.4846242944335938,False,REGULAR,USD
28,TSLA281215P00210000,2026-04-23 15:02:19+00:00,210.0,27.26,27.15,27.9,-0.059999466,-0.21961737,5,1763,0.47865816757202145,False,REGULAR,USD
29,TSLA281215P00220000,2026-04-23 17:25:42+00:00,220.0,30.55,30.15,30.95,1.1700001,3.9823012,30,372,0.4735923002624512,False,REGULAR,USD
30,TSLA281215P00230000,2026-04-23 15:56:32+00:00,230.0,32.83,33.25,34.2,0.45000076,1.389749,371,330,0.4689384161376954,False,REGULAR,USD
