,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260529C00140000,2026-04-13 14:44:47+00:00,140.0,212.34,231.2,236.05,0.0,0.0,,1,1.8134774951171875,True,REGULAR,USD
1,TSLA260529C00150000,2026-04-13 15:56:20+00:00,150.0,202.02,221.15,225.9,0.0,0.0,,1,1.675538731689453,True,REGULAR,USD
2,TSLA260529C00160000,2026-04-10 15:53:19+00:00,160.0,185.31,211.3,216.15,0.0,0.0,,1,0.8437515624999999,True,REGULAR,USD
3,TSLA260529C00200000,2026-04-15 16:22:28+00:00,200.0,194.61,171.7,176.35,0.0,0.0,,3,0.870118486328125,True,REGULAR,USD
4,TSLA260529C00220000,2026-04-23 14:37:33+00:00,220.0,153.87,151.75,156.35,-16.080002,-9.461608,1.0,8,0.7573266455078126,True,REGULAR,USD
5,TSLA260529C00250000,2026-04-17 15:20:13+00:00,250.0,157.07,122.25,126.55,0.0,0.0,2.0,2,0.6606479248046876,True,REGULAR,USD
6,TSLA260529C00260000,2026-04-23 14:14:21+00:00,260.0,112.91,113.2,115.5,-18.5,-14.078075,3.0,7,0.5969278588867188,True,REGULAR,USD
7,TSLA260529C00270000,2026-04-22 19:41:46+00:00,270.0,120.0,102.9,105.3,0.0,0.0,1.0,0,0.5009815527343751,True,REGULAR,USD
8,TSLA260529C00275000,2026-04-22 18:49:25+00:00,275.0,116.11,98.75,101.3,0.0,0.0,2.0,5,0.5920450952148439,True,REGULAR,USD
9,TSLA260529C00280000,2026-04-15 16:07:30+00:00,280.0,114.12,94.0,96.6,0.0,0.0,1.0,2,0.5864299169921875,True,REGULAR,USD
10,TSLA260529C00285000,2026-04-22 18:39:04+00:00,285.0,105.98,89.3,91.8,0.0,0.0,1.0,2,0.5758099060058592,True,REGULAR,USD
11,TSLA260529C00290000,2026-04-16 17:20:32+00:00,290.0,100.62,83.95,86.45,0.0,0.0,,2,0.5205126074218749,True,REGULAR,USD
12,TSLA260529C00300000,2026-04-22 16:45:09+00:00,300.0,92.12,75.35,77.05,0.0,0.0,1.0,22,0.5262498547363281,True,REGULAR,USD
13,TSLA260529C00305000,2026-04-15 14:33:30+00:00,305.0,77.99,70.65,72.35,0.0,0.0,,1,0.5113574255371094,True,REGULAR,USD
14,TSLA260529C00310000,2026-04-23 17:37:22+00:00,310.0,66.89,66.0,67.65,-23.270004,-25.809675,2.0,6,0.5327195166015625,True,REGULAR,USD
15,TSLA260529C00315000,2026-04-21 18:49:14+00:00,315.0,76.77,61.45,63.15,0.0,0.0,1.0,15,0.5199022619628906,True,REGULAR,USD
