,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA281215C00005000,2026-04-20 16:18:44+00:00,5.0,390.05,365.85,373.75,0.0,0.0,52.0,992,1.5297875073242184,True,REGULAR,USD
1,TSLA281215C00010000,2026-03-26 19:54:53+00:00,10.0,365.4,361.75,369.7,0.0,0.0,16.0,4,1.3774445190429687,True,REGULAR,USD
2,TSLA281215C00020000,2026-03-02 16:00:03+00:00,20.0,384.73,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
3,TSLA281215C00025000,2026-04-10 17:12:35+00:00,25.0,321.5,348.6,356.6,0.0,0.0,,27,1.107426337890625,True,REGULAR,USD
4,TSLA281215C00035000,2026-02-17 17:19:39+00:00,35.0,375.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
5,TSLA281215C00040000,2026-03-05 17:32:47+00:00,40.0,367.98,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
6,TSLA281215C00045000,2026-03-31 16:19:52+00:00,45.0,326.0,331.45,339.4,0.0,0.0,,28,0.9597171997070311,True,REGULAR,USD
7,TSLA281215C00050000,2026-04-23 14:40:53+00:00,50.0,332.0,327.05,335.0,35.820007,12.094,6.0,15,0.9285285467529296,True,REGULAR,USD
8,TSLA281215C00060000,2026-04-15 16:04:21+00:00,60.0,340.8,318.85,326.55,0.0,0.0,20.0,10,0.8887340228271483,True,REGULAR,USD
9,TSLA281215C00070000,2026-04-07 14:11:22+00:00,70.0,283.13,310.6,318.55,0.0,0.0,16.0,16,0.8577589907836914,True,REGULAR,USD
10,TSLA281215C00080000,2026-04-07 13:44:26+00:00,80.0,279.5,302.45,310.15,0.0,0.0,8.0,19,0.8252580950927733,True,REGULAR,USD
11,TSLA281215C00090000,2026-03-05 20:17:33+00:00,90.0,327.58,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
12,TSLA281215C00100000,2026-04-23 16:14:02+00:00,100.0,296.5,288.35,293.5,-12.600006,-4.0763526,2.0,329,0.7867452966308592,True,REGULAR,USD
